PPWz,theta_over_pi,vertical_wavelength_m,"modified_wavenumber_error_pct__Non-staggered, second order","modified_wavenumber_error_pct__Non-staggered, fourth order","modified_wavenumber_error_pct__Compact Pade, fourth order","modified_wavenumber_error_pct__Staggered Lorenz, second order"
3.0,0.6666666666666666,750.0,58.65033284336558,37.975499265048384,17.300665686731186,17.300665686731186
4.0,0.5,1000.0,36.33802276324186,15.117363684322493,4.507034144862798,9.968368384289384
5.0,0.4,1250.0,24.317327135934296,6.885513546151067,1.668970325764474,6.451071621136095
6.0,0.3333333333333333,1500.0,17.300665686731186,3.5174433011863737,0.7607988240774133,4.507034144862798
7.0,0.2857142857142857,1750.0,12.897358430243976,1.965680818225124,0.3968208589443356,3.323361469144781
8.0,0.25,2000.0,9.968368384289384,1.1784835913052238,0.22746914743162483,2.5504641595567312
9.0,0.2222222222222222,2250.0,7.927457104147074,0.7471627552633975,0.1398443272671468,2.0184463948983544
10.0,0.2,2500.0,6.451071621136095,0.49565311620336505,0.09074857909847633,1.6368356916534044
11.0,0.18181818181818182,2750.0,5.34977561116845,0.34131269834746236,0.06147994700402837,1.353916087289797
12.0,0.16666666666666666,3000.0,4.507034144862798,0.24249029757335006,0.04314086430253772,1.1384070534630752
